;traverse_request_date;traverse_id;traverse_name;traverse_descr_nl;traverse_descr_fr;traverse_descr_en;traverse_longitude;traverse_latitude;traverse_orientation;traverse_number_of_lanes;detector_1;detector_2;detector_3;detector_4;detector_5
0;2019/10/17 11:18:02;traverse.16436;LOU_TD1;Louizatunnel - inrit : Basiliek > Zuid + Kameren;Tunnel Louise - entrée : Basilique > Midi + Cambre;Tunnel Louise - entrée : Basilique > Midi + Cambre;4,35695853200681;50,8365913344471;50;2;LOU_TD1_1;LOU_TD1_2;;;
1;2019/10/17 11:18:02;traverse.16437;ARL_103;Kunst-Wettunnel > Zuid;Tunnel Arts-Loi > Midi;Tunnel Arts-Loi > Midi;4,36852282769307;50,8457551811458;20;2;ARL_103_1;ARL_103_2;;;
2;2019/10/17 11:18:02;traverse.16456;SB020_BBin;Boudewijnlaan : Helihavenlaan > IJzerplein;Bd. Baudouin : Av. de l'Héliport > Pl. de l'Yser;Bd. Baudouin : Av. de l'Héliport > Pl. de l'Yser;4,34920696698087;50,8579974792338;115;2;SB020_BBin1;SB020_BBin2;;;
3;2019/10/17 11:18:02;traverse.16438;LOI_103;Wettunnel : Jubelpark > Centrum;Tunnel Loi : Cinquantenaire > Centre;Tunnel Loi : Cinquantenaire > Centre;4,38682173223087;50,8418347237431;110;2;LOI_103_1;LOI_103_2;;;
4;2019/10/17 11:18:02;traverse.16433;SB0236_BHout;Koninklijk Parklaan : Madridlaan > Vorstenhuislaan;Av. du Parc Royal : Av. de Madrid > Av. de la Dynastie;Av. du Parc Royal : Av. de Madrid > Av. de la Dynastie;4,35756294930224;50,8930000247203;320;2;SB0236_BHout1;SB0236_BHout2;;;
5;2019/10/17 11:18:02;traverse.16447;CIN_TD1;Jubelparktunnel > Centrum;Tunnel Cinquantenaire > Centre;Tunnel Cinquantenaire > Centre;4,39448722891204;50,8402207235509;110;2;CIN_TD1_1;CIN_TD1_2;;;
6;2019/10/17 11:18:02;traverse.16448;CIN_TD2;Belliard-Jubelparktunnel > Tervueren;Tunnel Belliard-Cinquantenaire > Tervueren;Tunnel Belliard-Cinquantenaire > Tervueren;4,39448383899941;50,8401254712678;290;2;CIN_TD2_1;CIN_TD2_2;;;
7;2019/10/17 11:18:02;traverse.16449;RCE_TD1;Reyers-Centrumtunnel > Centrum;Tunnel Reyers-Centre > Centre;Tunnel Reyers-Centre > Centre;4,39855753338851;50,848036684476;64;1;RCE_TD1_1;;;;
8;2019/10/17 11:18:02;traverse.16464;SUL62_BHin;Terhulpsesteenweg : Diesdellelaan > Lorrainedreef;Ch. de la Hulpe : Av. du Vivier d'Oie > Dr. de Lorraine;Ch. de la Hulpe : Av. du Vivier d'Oie > Dr. de Lorraine;4,38057760894757;50,7990396839219;280;1;SUL62_BHin1;;;;
9;2019/10/17 11:18:02;traverse.16450;BE_TD1;Belliardtunnel - inrit;Tunnel Belliard - entrée;Tunnel Belliard - entrée;4,38083487018981;50,8402353941657;260;3;BE_TD1_1;BE_TD1_2;BE_TD1_3;;
10;2019/10/17 11:18:02;traverse.16463;SB121_BBin;Belliardstraat : Kunstlaan > Handelsstraat;Rue Belliard : Av. des Arts > Rue du Commerce;Rue Belliard : Av. des Arts > Rue du Commerce;4,36755767589685;50,8427194155479;285;5;SB121_BBin1;SB121_BBin2;SB121_BBin3;SB121_BBin4;SB121_BBin5
11;2019/10/17 11:18:02;traverse.16451;ARL_203;Kunst-Wettunnel > Basiliek;Tunnel Arts-Loi > Basilique;Tunnel Arts-Loi > Basilique;4,36847711930287;50,8454212127438;200;2;ARL_203_1;ARL_203_2;;;
12;2019/10/17 11:18:02;traverse.16452;HAL_292;Hallepoorttunnel > Basiliek;Tunnel Porte de Hal > Basilique;Tunnel Porte de Hal > Basilique;4,34435175156863;50,8333292051346;290;2;HAL_292_1;HAL_292_2;;;
13;2019/10/17 11:18:02;traverse.16442;TRO_203;Troontunnel > Belliard;Tunnel Trône > Belliard;Tunnel Trône > Belliard;4,36589069362988;50,8406560215622;220;2;TRO_203_1;TRO_203_2;;;
14;2019/10/17 11:18:02;traverse.16434;SB125_BBout;Belliardstraat : Aarlenstraat > Trierstraat;Rue Belliard : Rue d'Arlon > rue de Trèves;Rue Belliard : Rue d'Arlon > rue de Trèves;4,37430823073347;50,8413096175241;285;4;SB125_BBout1;SB125_BBout2;SB125_BBout3;SB125_BBout4;
15;2019/10/17 11:18:02;traverse.16457;BOT_TD2;Kruidtuintunnel > Basiliek;Tunnel Botanique > Basilique;Tunnel Botanique > Basilique;4,36705817328361;50,8529271483494;120;2;BOT_TD2_1;BOT_TD2_2;;;
16;2019/10/17 11:18:02;traverse.16443;HAL_191;Hallepoorttunnel > Zuid;Tunnel Porte de Hal > Midi;Tunnel Porte de Hal > Midi;4,34504691225078;50,8332713997418;110;2;HAL_191_1;HAL_191_2;;;
17;2019/10/17 11:18:02;traverse.16444;DEL_103_12;Deltatunnel > Centre;Tunnel Delta > Centre;Tunnel Delta > Centre;4,40763894749183;50,8157452748348;135;2;DEL_103_1;DEL_103_2;;;
18;2019/10/17 11:18:02;traverse.16465;MON_TD1;Montgomerytunnel > Kameren;Tunnel Montgomery > Cambre;Tunnel Montgomery > Cambre;4,40739340672444;50,8371268392137;15;2;MON_TD1_1;MON_TD1_2;;;
19;2019/10/17 11:18:02;traverse.16466;LOU_110;Louizatunnel - lus : Basiliek > Kameren;Tunnel Louise - boucle : Basilique > Cambre;Tunnel Louise - boucle : Basilique > Cambre;4,35470097195641;50,835614034075;105;1;LOU_110_6;;;;
20;2019/10/17 11:18:02;traverse.16467;STE_TD3;Stefaniatunnel - oprit : Kameren > Basiliek;Tunnel Stéphanie - bretelle : Cambre > Basilique;Tunnel Stéphanie - bretelle : Cambre > Basilique;4,35551041573263;50,8357236560642;190;1;STE_TD3_1;;;;
21;2019/10/17 11:18:02;traverse.16458;SUL62_BGin;Lorrainedreef : Korporaaldreef > Terhulpsesteenweg;Dr. de Lorraine : Dr. du Caporal > Ch. de la Hulpe;Dr. de Lorraine : Dr. du Caporal > Ch. de la Hulpe;4,38279259633245;50,7979060948513;170;2;SUL62_BGin1;SUL62_BGin2;;;
22;2019/10/17 11:18:02;traverse.16445;MAD_103;Madoutunnel > Zuid;Tunnel Madou > Midi;Tunnel Madou > Midi;4,36897150728288;50,8491539713291;350;2;MAD_103_1;MAD_103_2;;;
23;2019/10/17 11:18:02;traverse.16446;VLE_103;Vleurgattunnel > Centrum;Tunnel Vleurgat > Centre;Tunnel Vleurgat > Centre;4,36796757498138;50,8233719130158;150;2;VLE_103_1;VLE_103_2;;;
24;2019/10/17 11:18:02;traverse.16473;ROG_TD1;Rogier-Kruidtuintunnel > Zuid;Tunnel Rogier-Botanique > Midi;Tunnel Rogier-Botanique > Midi;4,35529733515802;50,8560960838814;295;2;ROG_TD1_1;ROG_TD1_2;;;
25;2019/10/17 11:18:02;traverse.16416;PNA_203;Naamsepoorttunnel > Basiliek;Tunnel Porte de Namur > Basilique;Tunnel Porte de Namur > Basilique;4,36169819780213;50,8384799439303;235;2;PNA_203_1;PNA_203_2;;;
26;2019/10/17 11:18:02;traverse.16417;DEL_103_6;Deltatunnel > Parking;Tunnel Delta > Parking;Tunnel Delta > Parking;4,40760212115242;50,8156243058095;110;1;DEL_103_6;;;;
27;2019/10/17 11:18:02;traverse.16468;SUL62_BDout;Terhulpsesteenweg : Lorrainedreef > Diesdellelaan;Ch. de la Hulpe : Dr. de Lorraine > Av. du Vivier d'Oie;Ch. de la Hulpe : Dr. de Lorraine > Av. du Vivier d'Oie;4,38058685119678;50,7990691599242;100;1;SUL62_BDout1;;;;
28;2019/10/17 11:18:02;traverse.16474;LOU_TD2;Louizatunnel - inrit : Zuid > Basiliek;Tunnel Louise - entrée : Midi > Basilique;Tunnel Louise - entrée : Midi > Basilique;4,3552931128139;50,8357944967423;230;2;LOU_TD2_1;LOU_TD2_2;;;
29;2019/10/17 11:18:02;traverse.16418;VP_103;Van Praettunnel > Centrum;Tunnel Van Praet > Centre;Tunnel Van Praet > Centre;4,37525612793937;50,8790703836989;5;2;VP_103_1;VP_103_2;;;
30;2019/10/17 11:18:02;traverse.16419;STE_TD2;Stefaniatunnel - uitrit : Centrum + Basiliek > Kameren;Tunnel Stéphanie - sortie : Centre + Basilique > Cambre;Tunnel Stéphanie - sortie : Centre + Basilique > Cambre;4,35544182807463;50,8353942207238;325;2;STE_TD2_1;STE_TD2_2;;;
31;2019/10/17 11:18:02;traverse.16420;BOI_203;Boileautunnel > Meiser;Tunnel Boileau > Meiser;Tunnel Boileau > Meiser;4,40454037395511;50,8314671373189;200;2;BOI_203_1;BOI_203_2;;;
32;2019/10/17 11:18:02;traverse.16435;GH_103;Georges Henritunnel > Ter Kameren;Tunnel Georges Henri > La Cambre;Tunnel Georges Henri > La Cambre;4,4061742687768;50,8424655931645;340;3;GH_103_1;GH_103_2;GH_103_3;;
33;2019/10/17 11:18:02;traverse.16421;ROG_TD2;Rogiertunnel > Basiliek;Tunnel Rogier > Basilique;Tunnel Rogier > Basilique;4,35553982742218;50,8560957594291;115;2;ROG_TD2_1;ROG_TD2_2;;;
34;2019/10/17 11:18:02;traverse.16439;SGN02_BBout;Keizer Karellaan : F. Beeckmansstraat > de Villegaslaan;Av. Charles-Quint : Rue F. Beeckmans > Av. de Villegas;Av. Charles-Quint : Rue F. Beeckmans > Av. de Villegas;4,30990478561637;50,8691421209151;115;2;SGN02_BBout1;SGN02_BBout2;;;
35;2019/10/17 11:18:02;traverse.16440;TER_TD1;Tervurentunnel > Centrum;Tunnel Tervueren > Centre;Tunnel Tervueren > Centre;4,40797458487389;50,8373973283749;110;2;TER_TD1_1;TER_TD1_2;;;
36;2019/10/17 11:18:02;traverse.16422;BEL_TD4;Belliard-Cortenberghtunnel vóór inrit Blijde Inkomst > E40;Tunnel Belliard-Cortenbergh avant entrée Joyeuse Entrée > E40;Tunnel Belliard-Cortenbergh avant entrée Joyeuse Entrée > E40;4,38602388862269;50,8433192595553;230;2;BEL_TD4_1;BEL_TD4_2;;;
37;2019/10/17 11:18:02;traverse.16423;RME_TD1;Reyers-Meisertunnel > Meiser;Tunnel Reyers-Meiser > Meiser;Tunnel Reyers-Meiser > Meiser;4,40240769836913;50,8498633167017;120;1;RME_TD1_1;;;;
38;2019/10/17 11:18:02;traverse.16459;SB1201_BAout;Kunstlaan : Montoyerstraat > Belliardstraat;Av. des Arts : Rue Montoyer > Rue Belliard;Av. des Arts : Rue Montoyer > Rue Belliard;4,36676532148926;50,8420224998488;195;4;SB1201_BAout1;SB1201_BAout2;SB1201_BAout3;SB1201_BAout4;
39;2019/10/17 11:18:02;traverse.16424;STE_TD1;Stefaniatunnel - uitrit : Kameren > Centrum;Tunnel Stéphanie - sortie : Cambre > Centre;Tunnel Stéphanie - sortie : Cambre > Centre;4,35533670092783;50,8356012609392;140;1;STE_TD1_1;;;;
40;2019/10/17 11:18:02;traverse.16453;SB0246_BAout;Vuurkruisenlaan : Heembeekstraat > De Wandstraat;Av. des Croix du Feu : rue de Heembeek > rue de Wand;Av. des Croix du Feu : rue de Heembeek > rue de Wand;4,36338369892443;50,8932787104298;125;2;SB0246_BAout3;SB0246_BAout4;;;
41;2019/10/17 11:18:02;traverse.16425;TRO_TD2;Troontunnel > Basilique;Tunnel Trône > Basilique;Tunnel Trône > Basilique;4,36618462645944;50,8411585614729;200;2;TRO_TD2_1;TRO_TD2_2;;;
42;2019/10/17 11:18:02;traverse.16441;GH_203;Georges Henritunnel > Meiser;Tunnel Georges Henri > Meiser;Tunnel Georges Henri > Meiser;4,40646945858465;50,8422366718252;160;3;GH_203_1;GH_203_2;GH_203_3;;
43;2019/10/17 11:18:02;traverse.16454;SGN02_BAout;Keizer Karellaan : F. Beeckmansstraat > Boerderijstraat;Av. Charles-Quint : Rue F. Beeckmans > Rue de la Métairie;Av. Charles-Quint : Rue F. Beeckmans > Rue de la Métairie;4,3105789088027;50,8688324426319;295;2;SGN02_BAout1;SGN02_BAout2;;;
44;2019/10/17 11:18:02;traverse.16461;SB020_BCin;Willebroekkaai : Ruimingskaai > IJzerplein;Quai de Willebroeck : Quai de la Voirie > Pl. de l'Yser;Quai de Willebroeck : Quai de la Voirie > Pl. de l'Yser;4,34876977877793;50,8582030897834;25;3;SB020_BCin1;SB020_BCin2;SB020_BCin3;;
45;2019/10/17 11:18:02;traverse.16426;PNA_103;Naamsepoorttunnel > Zuid;Tunnel Porte de Namur > Midi;Tunnel Porte de Namur > Midi;4,3623772388971;50,8388649715647;55;2;PNA_103_1;PNA_103_2;;;
46;2019/10/17 11:18:02;traverse.16462;SUL62_BHout;Terhulpsesteenweg : Lorrainedreef > 's-Herenhuislaan;Ch. de la Hulpe : Dr. de Lorraine > Av. S'Heeren Huys;Ch. de la Hulpe : Dr. de Lorraine > Av. S'Heeren Huys;4,38398848375424;50,7985971582363;280;2;SUL62_BHout1;SUL62_BHout2;;;
47;2019/10/17 11:18:02;traverse.16460;SUL62_BGout;Lorrainedreef : Terhulpsesteenweg > Bosvoordselaan;Dr. de Lorraine : Ch. de la Hulpe > Av. de Boitsfort;Dr. de Lorraine : Ch. de la Hulpe > Av. de Boitsfort;4,38247616107358;50,7990014935703;210;1;SUL62_BGout1;;;;
48;2019/10/17 11:18:02;traverse.16427;MAD_203;Madoutunnel > Basiliek;Tunnel Madou > Basilique;Tunnel Madou > Basilique;4,36916800191254;50,8488531910046;170;2;MAD_203_1;MAD_203_2;;;
49;2019/10/17 11:18:02;traverse.16428;VLE_203;Vleurgattunnel > Ter Kameren;Tunnel Vleurgat > La Cambre;Tunnel Vleurgat > La Cambre;4,3674756097824;50,8237391810756;330;2;VLE_103_1;VLE_103_2;;;
50;2019/10/17 11:18:02;traverse.16429;BET_TD3;Belliard-Jubelparktunnel > Tervueren;Tunnel Belliard-Cinquantenaire > Tervueren;Tunnel Belliard-Cinquantenaire > Tervueren;4,38650625946081;50,8417380768795;290;2;BET_TD3_1;BET_TD3_2;;;
51;2019/10/17 11:18:02;traverse.16430;VP_203;Van Praettunnel > A12;Tunnel Van Praet > A12;Tunnel Van Praet > A12;4,37533832168132;50,8786382689061;185;2;VP_203_1;VP_203_2;;;
52;2019/10/17 11:18:02;traverse.16469;SUL62_BA1out;Lorrainedreef : Terhulpsesteenweg > Korporaaldreef;Dr. de Lorraine : Ch. de la Hulpe > Dr. du Caporal;Dr. de Lorraine : Ch. de la Hulpe > Dr. du Caporal;4,38273308951594;50,7978984925948;350;1;SUL62_BA1out1;;;;
53;2019/10/17 11:18:02;traverse.16475;SUL62_BDin;Terhulpsesteenweg : 's-Herenhuislaan > Lorrainedreef;Ch. de la Hulpe : Av. S'Heeren Huys > Dr. de Lorraine;Ch. de la Hulpe : Av. S'Heeren Huys > Dr. de Lorraine;4,38400074128935;50,7986361284092;100;1;SUL62_BDin1;;;;
54;2019/10/17 11:18:02;traverse.16470;SB0246_BXout;Van Praetlaan : Araucarialaan > Vilvoordsesteenweg;Av. Van Praet : Av. de l'Araucaria > Ch. de Vilvorde;Av. Van Praet : Av. de l'Araucaria > Ch. de Vilvorde;4,3632826010712;50,8926726489919;295;2;SB0246_BXout1;SB0246_BXout2;;;
55;2019/10/17 11:18:02;traverse.16471;SB020_BDout;Willebroekkaai : IJzerplein > Simon Bolivarlaan;Quai de Willebroeck : Pl. de l'Yser > Bd S. Bolivar;Quai de Willebroeck : Pl. de l'Yser > Bd S. Bolivar;4,34919110900498;50,8582377341188;200;2;SB020_BDout1;SB020_BDout2;;;
56;2019/10/17 11:18:02;traverse.16431;BAI_TD2;Baillitunnel > Ter Kameren;Tunnel Bailli > La Cambre;Tunnel Bailli > La Cambre;4,36312754900289;50,8279565134595;330;2;BAI_TD2_1;BAI_TD2_2;;;
57;2019/10/17 11:18:02;traverse.16432;BAI_TD1;Baillitunnel > Centrum;Tunnel Bailli > Centre;Tunnel Bailli > Centre;4,36302375091686;50,8281804402839;150;2;BAI_TD1_1;BAI_TD1_2;;;
58;2019/10/17 11:18:02;traverse.16476;LOI_109;Wettunnel : inrit Blijde Inkomst > Centrum;Tunnel Loi : entrée Joyeuse Entrée > Centre;Tunnel Loi : entrée Joyeuse Entrée > Centre;4,38594029684627;50,8412923720853;200;1;LOI_109_6;;;;
59;2019/10/17 11:18:02;traverse.16477;SB020_BAout;Antwerpselaan : IJzerplein > Antwerpselaan;Bd. d'Anvers : Pl. de l'Yser > Bd. d'Anvers;Bd. d'Anvers : Pl. de l'Yser > Bd. d'Anvers;4,34917883601026;50,8577737668987;290;2;SB020_BAout1;SB020_BAout2;;;
60;2019/10/17 11:18:02;traverse.16472;MON_TD2;Montgomerytunnel > Meiser;Tunnel Montgomery > Meiser;Tunnel Montgomery > Meiser;4,40752081535691;50,8371066241582;195;2;MON_TD2_1;MON_TD2_2;;;
61;2019/10/17 11:18:02;traverse.16478;SB0236_BCout;Koninklijk Parklaan : Madridlaan > A12;Av. du Parc Royal : Av. de Madrid > A12;Av. du Parc Royal : Av. de Madrid > A12;4,35760384671979;50,8931166449733;140;2;SB0236_BCout1;SB0236_BCout2;;;
62;2019/10/17 11:18:02;traverse.16479;TRO_TD1;Troontunnel > Zuid;Tunnel Trône > Midi;Tunnel Trône > Midi;4,36627279945376;50,8415215046334;20;2;TRO_TD1_1;TRO_TD1_2;;;
63;2019/10/17 11:18:02;traverse.16480;BET_TD2_12;Belliardtunnel - bifurcatie > Jubelpark;Tunnel Belliard - bifurcation > Cinquantenaire;Tunnel Belliard - bifurcation > Cinquantenaire;4,38459966479754;50,8421984666756;290;2;BET_TD2_1;BET_TD2_2;;;
64;2019/10/17 11:18:02;traverse.16481;TER_TD2;Tervurentunnel > Tervuren;Tunnel Tervueren > Tervueren;Tunnel Tervueren > Tervueren;4,40717157399957;50,8374887718277;290;2;TER_TD2_1;TER_TD2_2;;;
65;2019/10/17 11:18:02;traverse.16482;BEL_TD5;Belliard-Cortenberghtunnel > E40;Tunnel Belliard-Cortenbergh > E40;Tunnel Belliard-Cortenbergh > E40;4,3949361577435;50,8471522117605;240;2;BEL_TD5_1;BEL_TD5_2;;;
